Month/Year,General Index,1.1 Mining,1.2 Manufacturing,1.3 Electricity,2.1 Primary Goods,2.2 Capital Goods,2.3 Intermediate Goods,2.4 Infrastructure/Construction Goods,2.5 Consumer Durables,2.6 Consumer Non-Durables
Weight,100.00,14.37,77.63,7.99,34.05,8.22,17.22,12.34,12.84,15.33
2025/06(JUN),153.3,123.2,152.3,201.7,151.9,108.3,165.5,192.3,125.9,146.9
2025/05(MAY),157.8,136.4,155.2,218.5,158.6,119.3,170.0,198.8,129.9,152.2
2025/04(APR),151.8,130.7,149.1,215.7,151.9,108.3,165.5,192.3,125.9,146.9
2025/03(MAR),156.3,158.1,152.4,219.5,169.5,135.3,175.6,214.5,138.8,149.0
2025/02(FEB),151.1,143.9,148.4,194.0,152.3,115.4,159.1,191.7,126.4,148.7
2025/01(JAN),161.6,150.7,159.5,201.9,162.8,119.3,172.5,200.2,130.0,165.1
2024/12(DEC),158.0,143.2,157.2,192.8,157.7,114.7,170.1,195.4,123.8,166.9
2024/11(NOV),148.1,133.8,147.0,184.1,147.7,106.7,158.5,177.3,121.5,163.1
2024/10(OCT),150.3,128.5,148.4,207.8,149.8,109.2,165.0,184.2,129.8,146.2
2024/09(SEP),146.9,111.7,147.2,206.9,141.3,116.5,160.8,178.8,132.9,145.7
2024/08(AUG),146.8,107.1,146.1,212.3,141.6,107.4,162.3,181.5,128.8,141.8
2024/07(JUL),149.8,116.1,148.8,220.2,150.1,114.0,164.6,179.7,125.6,147.1
2024/06(JUN),151.9,134.9,145.6,222.8,150.0,111.3,159.1,184.9,127.1,145.2
2024/05(MAY),154.7,135.5,155.4,229.3,160.9,105.3,162.4,186.3,139.2,154.0
2024/04(APR),149.0,130.9,144.6,212.0,152.2,95.0,157.9,184.2,119.5,150.0
2024/03(MAR),160.0,155.2,155.2,204.2,163.1,131.6,169.2,195.2,129.9,155.2
2024/02(FEB),160.0,155.2,155.2,204.2,163.1,131.6,169.2,195.2,129.9,155.2
2024/01(JAN),160.0,155.2,155.2,204.2,163.1,131.6,169.2,195.2,129.9,155.2
