AMFI INDIA - INVESTOR BEHAVIOR DATA (AGE GROUP + HOLDING PERIOD)
Quarter Ended: 30-Jun-2024
NOTE: All AUM values in Rs. Crore (as of quarter end date)

Age Group,Asset Type,0-1 Month,1-3 Months,3-6 Months,6-12 Months,12-24 Months,> 24 Months
Corporates,EQUITY,15670.78,36750.11,53324.52,74484.24,167869.47,262973.57
Corporates,NON-EQUITY,405990.71,264123.51,174730.85,233885.70,232770.38,758544.37
Banks,EQUITY,121.94,238.79,367.05,1976.48,892.91,55.95
Banks,NON-EQUITY,42359.01,40767.93,32523.07,2715.88,1195.28,2525.95
FIIs,EQUITY,34.20,54.43,105.37,288.03,234.49,802.77
FIIs,NON-EQUITY,0.37,269.92,10.91,351.85,37.02,801.76
High Networth Individuals,EQUITY,33496.67,64685.38,93537.74,197115.45,314857.55,789045.77
High Networth Individuals,NON-EQUITY,50444.83,77480.43,72661.77,131237.36,178264.02,564030.07
Retail,EQUITY,34221.35,67968.78,106486.40,197247.62,299691.87,1101016.28
Retail,NON-EQUITY,7836.74,13329.19,16722.09,31096.00,39485.62,148862.83
