Month Year: 2025-07-01
Category,State,AuM (Rs. Crores),Rank
Liquid/Money Market,Maharashtra,572771,1
Liquid/Money Market,New Delhi,105686,2
Liquid/Money Market,Gujarat,68880,3
Liquid/Money Market,Karnataka,65086,4
Liquid/Money Market,Tamil Nadu,54440,5
Debt Oriented,Maharashtra,454940,1
Debt Oriented,New Delhi,149099,2
Debt Oriented,Karnataka,86535,3
Debt Oriented,Gujarat,81107,4
Debt Oriented,Tamil Nadu,61603,5
Equity Oriented,Maharashtra,1330504,1
Equity Oriented,Gujarat,382138,2
Equity Oriented,Karnataka,365587,3
Equity Oriented,New Delhi,349326,4
Equity Oriented,Uttar Pradesh,297505,5
ETFs/FoFs,Maharashtra,771528,1
ETFs/FoFs,New Delhi,25124,2
ETFs/FoFs,Karnataka,14416,3
ETFs/FoFs,Tamil Nadu,11987,4
ETFs/FoFs,West Bengal,10388,5
