Month Year: 2025-07-01
State,Industry Share (%),Liquid/Money Market (%),Debt Oriented (%),Equity Oriented (%),ETFs/FoFs (%)
Maharashtra,40.6,43,56,71,69
New Delhi,8.2,15,24,15,16
Gujarat,7,18,17,10,16
Karnataka,6.9,17,23,9,11
West Bengal,4.9,13,12,9,8
Uttar Pradesh,4.7,12,11,8,5
Tamil Nadu,4.6,8,6,5,10
Haryana,3.4,5,18,18,8
Rajasthan,1.9,15,8,5,9
Telangana,1.7,13,7,10,10
Madhya Pradesh,1.4,4,2,9,9
Kerala,1.3,10,5,8,11
Andhra Pradesh,1.3,5,7,10,8
Punjab,1.2,7,2,16,15
Jharkhand,1.1,3,1,17,24
Bihar,1,6,5,15,86
Orissa,1,4,2,13,85
Chhattisgarh,0.6,5,6,17,75
Assam,0.5,3,1,18,86
Goa,0.5,4,2,12,83
